fi,fM,MHVR(fi-2),MHVR(fi-1),MHVR(fi),MHVR(fi+1),MHVR(fi+2),AMR(fi-2),AMR(fi-1),AMR(fi),AMR(fi+1),AMR(fi+2),pSAF
1.371000,3.057000,2.321000,2.437000,2.547000,2.606000,2.644000,1.776616,1.696425,1.728182,1.717673,1.785789,4.401679
1.400000,3.057000,2.437000,2.547000,2.606000,2.644000,2.655000,1.778275,1.701089,1.733776,1.720050,1.791527,4.518221
1.430000,3.057000,2.547000,2.606000,2.644000,2.655000,2.689000,1.786463,1.708200,1.738582,1.725253,1.798539,4.596810
1.461000,3.057000,2.606000,2.644000,2.655000,2.689000,2.763000,1.798410,1.713722,1.739366,1.731339,1.801411,4.618016
1.492000,3.057000,2.644000,2.655000,2.689000,2.763000,2.910000,1.802053,1.709737,1.735022,1.730154,1.793933,4.665474
1.524000,3.057000,2.655000,2.689000,2.763000,2.910000,3.152000,1.802659,1.700840,1.728345,1.725828,1.779342,4.775417
1.556000,3.057000,2.689000,2.763000,2.910000,3.152000,3.436000,1.802000,1.693050,1.724398,1.721997,1.764688,5.017999
1.589000,3.057000,2.763000,2.910000,3.152000,3.436000,3.754000,1.791562,1.688897,1.720345,1.721465,1.749765,5.422528
1.623000,3.057000,2.910000,3.152000,3.436000,3.754000,4.011000,1.780874,1.690669,1.719061,1.722633,1.742335,5.906692
1.658000,3.057000,3.152000,3.436000,3.754000,4.011000,4.179000,1.793546,1.708621,1.732201,1.731903,1.755165,6.502681
1.693000,3.057000,3.436000,3.754000,4.011000,4.179000,4.237000,1.817238,1.732980,1.751270,1.744177,1.777644,7.024346
1.729000,3.057000,3.754000,4.011000,4.179000,4.237000,4.155000,1.832837,1.754332,1.765993,1.754137,1.800126,7.380085
1.766000,3.057000,4.011000,4.179000,4.237000,4.155000,4.039000,1.838949,1.768207,1.774297,1.760303,1.815349,7.517695
1.804000,3.057000,4.179000,4.237000,4.155000,4.039000,3.965000,1.840931,1.773482,1.777662,1.762017,1.821321,7.386187
1.842000,3.057000,4.237000,4.155000,4.039000,3.965000,3.935000,1.841289,1.773046,1.778303,1.761645,1.820430,7.182564
1.882000,3.057000,4.155000,4.039000,3.965000,3.935000,3.910000,1.840434,1.769304,1.777239,1.760659,1.815381,7.046754
1.922000,3.057000,4.039000,3.965000,3.935000,3.910000,3.818000,1.840053,1.767385,1.776893,1.760705,1.813533,6.992075
1.963000,3.057000,3.965000,3.935000,3.910000,3.818000,3.648000,1.840823,1.769253,1.778210,1.761900,1.818096,6.952802
2.004000,3.057000,3.935000,3.910000,3.818000,3.648000,3.487000,1.841229,1.770890,1.779514,1.762556,1.823211,6.794184
2.047000,3.057000,3.910000,3.818000,3.648000,3.487000,3.405000,1.840702,1.768443,1.779626,1.762220,1.822385,6.492076
2.091000,3.057000,3.818000,3.648000,3.487000,3.405000,3.448000,1.836179,1.760177,1.777297,1.762431,1.810411,6.197436
2.136000,3.057000,3.648000,3.487000,3.405000,3.448000,3.639000,1.805809,1.746856,1.765416,1.769696,1.777591,6.011242
2.181000,3.057000,3.487000,3.405000,3.448000,3.639000,3.932000,1.771947,1.739791,1.757431,1.771582,1.745093,6.059621
2.228000,3.057000,3.405000,3.448000,3.639000,3.932000,4.179000,1.762311,1.749806,1.764346,1.776408,1.737309,6.420455
2.275000,3.057000,3.448000,3.639000,3.932000,4.179000,4.232000,1.763779,1.756317,1.766372,1.777796,1.737684,6.945376
2.324000,3.057000,3.639000,3.932000,4.179000,4.232000,4.232000,1.764608,1.757662,1.762021,1.773169,1.740076,7.363486
2.373000,3.057000,3.932000,4.179000,4.232000,4.232000,4.370000,1.759144,1.762351,1.761534,1.769857,1.739594,7.454812
2.424000,3.057000,4.179000,4.232000,4.232000,4.370000,4.676000,1.753631,1.776374,1.774309,1.774703,1.734649,7.508876
2.475000,3.057000,4.232000,4.232000,4.370000,4.676000,5.122000,1.748857,1.787558,1.786100,1.781615,1.724205,7.805257
2.528000,3.057000,4.232000,4.370000,4.676000,5.122000,5.565000,1.738115,1.787494,1.784690,1.778072,1.708600,8.345209
2.582000,3.057000,4.370000,4.676000,5.122000,5.565000,5.767000,1.726930,1.785261,1.776139,1.767173,1.697598,9.097385
2.637000,3.057000,4.676000,5.122000,5.565000,5.767000,5.876000,1.709198,1.779832,1.760946,1.748974,1.686828,9.799665
2.694000,3.057000,5.122000,5.565000,5.767000,5.876000,6.195000,1.687278,1.772672,1.745953,1.727005,1.671389,10.068909
2.751000,3.057000,5.565000,5.767000,5.876000,6.195000,6.953000,1.674314,1.763587,1.736731,1.709721,1.649634,10.205030
2.810000,3.057000,5.767000,5.876000,6.195000,6.953000,8.075000,1.658510,1.738572,1.716559,1.684843,1.616865,10.634085
2.870000,3.057000,5.876000,6.195000,6.953000,8.075000,9.001000,1.643412,1.717304,1.695131,1.660530,1.587659,11.786246
2.931000,3.057000,6.195000,6.953000,8.075000,9.001000,9.393000,1.630857,1.719908,1.684711,1.646129,1.574975,13.604044
2.993000,3.057000,6.953000,8.075000,9.001000,9.393000,9.087000,1.627260,1.743269,1.688153,1.646017,1.589965,15.195068
3.057000,3.057000,8.075000,9.001000,9.393000,9.087000,8.101000,1.629439,1.766610,1.690757,1.652995,1.630840,15.881281
3.122000,3.057000,9.001000,9.393000,9.087000,8.101000,7.019000,1.634762,1.767062,1.681686,1.656971,1.664952,15.281481
3.189000,3.057000,9.393000,9.087000,8.101000,7.019000,6.455000,1.636873,1.765425,1.681495,1.653511,1.674510,13.621794
3.257000,3.057000,9.087000,8.101000,7.019000,6.455000,5.860000,1.636909,1.762338,1.684824,1.651624,1.679569,11.825779
3.326000,3.057000,8.101000,7.019000,6.455000,5.860000,5.141000,1.657274,1.769458,1.701704,1.672850,1.699771,10.984499
3.397000,3.057000,7.019000,6.455000,5.860000,5.141000,4.736000,1.665912,1.774544,1.717645,1.691015,1.706294,10.065401
3.470000,3.057000,6.455000,5.860000,5.141000,4.736000,4.656000,1.680240,1.788047,1.743788,1.713709,1.712910,8.964813
3.544000,3.057000,5.860000,5.141000,4.736000,4.656000,4.356000,1.713369,1.810452,1.776852,1.755865,1.741506,8.415169
3.619000,3.057000,5.141000,4.736000,4.656000,4.356000,3.855000,1.734317,1.826898,1.796700,1.789826,1.767186,8.365434
3.697000,3.057000,4.736000,4.656000,4.356000,3.855000,3.360000,1.738933,1.829426,1.802011,1.799510,1.785145,7.849560
3.775000,3.057000,4.656000,4.356000,3.855000,3.360000,3.018000,1.764581,1.850171,1.828254,1.827543,1.822044,7.047918
3.856000,3.057000,4.356000,3.855000,3.360000,3.018000,2.780000,1.813860,1.901822,1.883953,1.900066,1.879268,6.330082
3.938000,3.057000,3.855000,3.360000,3.018000,2.780000,2.734000,1.837879,1.937360,1.919577,1.961551,1.907755,5.793284
4.022000,3.057000,3.360000,3.018000,2.780000,2.734000,2.860000,1.822820,1.927913,1.915350,1.971794,1.892996,5.324673
4.108000,3.057000,3.018000,2.780000,2.734000,2.860000,2.738000,1.834028,1.939262,1.929351,1.990191,1.906566,5.274845
4.196000,3.057000,2.780000,2.734000,2.860000,2.738000,2.150000,1.890885,1.994042,1.972823,2.051453,1.965503,5.642274
4.285000,3.057000,2.734000,2.860000,2.738000,2.150000,1.880000,1.917724,2.012722,1.991295,2.068146,2.002562,5.452165
4.376000,3.057000,2.860000,2.738000,2.150000,1.880000,2.107000,1.881593,2.007599,1.978757,2.074358,1.977441,4.254327
4.470000,3.057000,2.738000,2.150000,1.880000,2.107000,2.297000,1.864044,2.010564,1.989026,2.059967,1.979511,3.739369
4.565000,3.057000,2.150000,1.880000,2.107000,2.297000,2.154000,1.886262,2.045371,2.008168,2.110500,1.995349,4.231210
4.663000,3.057000,1.880000,2.107000,2.297000,2.154000,1.929000,1.915169,2.068962,2.014512,2.158743,2.008107,4.627334
4.762000,3.057000,2.107000,2.297000,2.154000,1.929000,1.732000,1.952010,2.098439,2.034595,2.184963,2.047746,4.382518
4.864000,3.057000,2.297000,2.154000,1.929000,1.732000,1.685000,1.976550,2.133147,2.062059,2.214190,2.085834,3.977712
4.967000,3.057000,2.154000,1.929000,1.732000,1.685000,1.648000,1.996529,2.178736,2.106020,2.275391,2.116136,3.647627
5.073000,3.057000,1.929000,1.732000,1.685000,1.648000,1.484000,2.072721,2.288676,2.155279,2.444565,2.175980,3.631645
5.181000,3.057000,1.732000,1.685000,1.648000,1.484000,1.484000,2.222088,2.427611,2.287338,2.699906,2.283151,3.769533
5.292000,3.057000,1.685000,1.648000,1.484000,1.484000,1.741000,2.100572,2.326128,2.287548,2.626944,2.161513,3.394721
5.405000,3.057000,1.648000,1.484000,1.484000,1.741000,2.181000,1.728160,1.951583,2.114545,2.140863,1.879405,3.137985
5.520000,3.057000,1.484000,1.484000,1.741000,2.181000,2.308000,1.605509,1.793021,2.020294,1.930926,1.784075,3.517332
5.638000,3.057000,1.484000,1.741000,2.181000,2.308000,2.324000,1.665124,1.788627,1.984398,1.952465,1.820912,4.327971
5.758000,3.057000,1.741000,2.181000,2.308000,2.324000,2.058000,1.750530,1.869096,1.942509,2.014418,1.883695,4.483310
5.881000,3.057000,2.181000,2.308000,2.324000,2.058000,1.686000,1.886939,2.032515,2.010821,2.103142,2.020792,4.673147
6.006000,3.057000,2.308000,2.324000,2.058000,1.686000,1.235000,2.122633,2.262568,2.191823,2.346530,2.259240,4.510771
6.134000,3.057000,2.324000,2.058000,1.686000,1.235000,0.989000,2.683753,2.703630,2.519536,2.952733,2.685502,4.247937
6.265000,3.057000,2.058000,1.686000,1.235000,0.989000,1.030000,3.367112,3.299231,3.100780,3.662085,3.225037,3.829464
6.399000,3.057000,1.686000,1.235000,0.989000,1.030000,0.914000,3.954709,3.742780,3.598176,4.134562,3.683800,3.558596
6.535000,3.057000,1.235000,0.989000,1.030000,0.914000,0.693000,4.749799,4.282763,4.092965,4.780802,4.240714,4.215754
6.675000,3.057000,0.989000,1.030000,0.914000,0.693000,0.610000,5.487209,4.756424,4.463044,5.326860,4.698892,4.079222
6.817000,3.057000,1.030000,0.914000,0.693000,0.610000,0.591000,5.880654,5.044308,4.690637,5.607106,4.949142,3.250612
6.962000,3.057000,0.914000,0.693000,0.610000,0.591000,0.558000,6.289482,5.330784,4.989072,5.918927,5.220724,3.043334
7.111000,3.057000,0.693000,0.610000,0.591000,0.558000,0.482000,6.746859,5.611923,5.310996,6.280784,5.499567,3.138799
7.263000,3.057000,0.610000,0.591000,0.558000,0.482000,0.645000,6.667305,5.571559,5.413074,6.159560,5.434832,3.020495
7.418000,3.057000,0.591000,0.558000,0.482000,0.645000,0.631000,6.539712,5.514045,5.413397,6.044418,5.377816,2.609258
7.576000,3.057000,0.558000,0.482000,0.645000,0.631000,0.555000,6.705759,5.607111,5.425363,6.218833,5.472209,3.499359
7.737000,3.057000,0.482000,0.645000,0.631000,0.555000,0.612000,6.623028,5.532364,5.418677,6.108134,5.391835,3.419185
7.902000,3.057000,0.645000,0.631000,0.555000,0.612000,0.632000,6.383708,5.417084,5.256289,5.902939,5.275896,2.917241
8.071000,3.057000,0.631000,0.555000,0.612000,0.632000,0.715000,6.236305,5.334223,5.223583,5.761659,5.186605,3.196833
8.243000,3.057000,0.555000,0.612000,0.632000,0.715000,0.801000,5.942373,5.141699,5.137584,5.473226,4.989317,3.246953
8.419000,3.057000,0.612000,0.632000,0.715000,0.801000,0.937000,5.441664,4.825652,4.861603,5.022997,4.663214,3.476046
8.598000,3.057000,0.632000,0.715000,0.801000,0.937000,0.914000,5.169820,4.639360,4.647712,4.809519,4.468451,3.722817
8.782000,3.057000,0.715000,0.801000,0.937000,0.914000,0.884000,5.055593,4.550536,4.461970,4.734447,4.381078,4.180866
8.969000,3.057000,0.801000,0.937000,0.914000,0.884000,0.818000,5.019742,4.523193,4.374363,4.710737,4.356699,3.998168
9.160000,3.057000,0.937000,0.914000,0.884000,0.818000,0.885000,4.850990,4.433196,4.278450,4.533943,4.259756,3.782150
9.356000,3.057000,0.914000,0.884000,0.818000,0.885000,0.833000,4.896629,4.478420,4.335081,4.557793,4.307250,3.546096
9.555000,3.057000,0.884000,0.818000,0.885000,0.833000,0.897000,4.849996,4.452509,4.346908,4.481660,4.281340,3.847014
9.759000,3.057000,0.818000,0.885000,0.833000,0.897000,0.915000,4.707291,4.361777,4.330373,4.307312,4.201199,3.607201
9.967000,3.057000,0.885000,0.833000,0.897000,0.915000,0.915000,4.609896,4.307827,4.245691,4.222036,4.147455,3.808385
10.000000,3.057000,0.833000,0.897000,0.915000,0.915000,0.915000,4.610874,4.295347,4.242391,4.224350,4.132448,3.881787
